('Jose W. Fernandez', 'PER')
('Economic Growth Energy', 'ORG')
('Toronto', 'LOC')
('Canada', 'LOC')
('United States', 'LOC')
('U.S.-Canada Summit', 'ORG')
('Eurasia Group', 'ORG')
('Bank of Montreal BMO Financial Group', 'ORG')
('North America', 'LOC')
('U.S.', 'LOC')
('Twitter', 'ORG')
('Fernandez', 'PER')
('facebook', 'ORG')
('LinkedIn', 'ORG')
('BLINKEN', 'PER')
('Mandela Fellows', 'MISC')
('Mandela Washington Fellowship Summit', 'ORG')
('Liz', 'PER')
('United States', 'LOC')
('IREX', 'ORG')
('Bureau of Educational and Cultural Affairs', 'ORG')
('Bureau of African Affairs', 'ORG')
('Obama', 'PER')
('YALI', 'ORG')
('Biden', 'PER')
('Mandela Fellowship', 'ORG')
('Africa', 'LOC')
('Des Moines', 'LOC')
('Iowa', 'LOC')
('Atlanta', 'LOC')
('Georgia', 'LOC')
('Africa', 'LOC')
('Allen', 'PER')
('Niger', 'LOC')
('United States', 'LOC')
('Hong Kong', 'LOC')
('People\'s Republic of China', 'LOC')
('One country Two systems', 'MISC')
('Beijing', 'LOC')
('Hong Kongers', 'MISC')
('Beijing', 'LOC')
('Hong Kong', 'LOC')
('Hong Kong', 'LOC')
('Hong Kongers', 'MISC')
('Hong Kong', 'LOC')
('National security law', 'MISC')
('HUN', 'PER')
('Khmer', 'MISC')
('BLINKEN', 'PER')
('Kerry', 'PER')
('Clinton', 'PER')
('Powell', 'PER')
('Cambodia', 'LOC')
('ASEAN', 'ORG')
('United States', 'LOC')
('ASEAN', 'ORG')
('United States', 'LOC')
('Cambodia', 'LOC')
('United States', 'LOC')
('Qatar', 'LOC')
('Hizballah', 'ORG')
('Ali Reda Hassan al Banai', 'PER')
('Ali Reda al Qassabi Lari', 'PER')
('Abd al Muayyid al Banai', 'PER')
('Hizballah', 'ORG')
('Abd al Rahman Abd al Nabi Shams', 'PER')
('Yahya Muhammad al Abd al Muhsin', 'PER')
('Majdi Faiz al Ustadz', 'PER')
('Sulaiman al Banai', 'PER')
('AlDar Properties', 'ORG')
('Sulaiman al Banai', 'PER')
('Gulf Cooperation Council', 'ORG')
('GCC', 'ORG')
('United States', 'LOC')
('Hizballah', 'ORG')
('Government of Bahrain', 'ORG')
('Europe', 'LOC')
('South America', 'LOC')
('Central America', 'LOC')
('Hizballah', 'ORG')
('Department of the Treasury', 'ORG')
('United States of America', 'LOC')
('Cooperative Republic of Guyana', 'LOC')
('Mahdia Secondary School Dormitory', 'ORG')
('Guyanese', 'MISC')
('Guyana', 'LOC')
('Mahdia', 'LOC')
('Guyana', 'LOC')
('United States', 'LOC')
('U.S.-Caribbean Partnership to Address the Climate Crisis 2030', 'ORG')
('pacc 2030', 'ORG')
('United States', 'LOC')
('Independence Day', 'MISC')
('United States', 'LOC')
('Azerbaijani', 'MISC')
('Tehran', 'LOC')
('Aliyev', 'PER')
('Iran', 'LOC')
('Vienna Convention on Diplomatic Relations', 'ORG')
('Iran', 'LOC')
('BLINKEN', 'PER')
('prime minister Brown', 'PER')
('Pacific Island', 'LOC')
('2022', 'DATE')
('Biden', 'PER')
('Cook Islands', 'LOC')
('United States', 'LOC')
('Cook Islands', 'LOC')
('World War II', 'MISC')
('IVLP', 'ORG')
('Young Pacific Leaders Program', 'ORG')
('Academy of Women Entrepreneurs Program', 'ORG')
('American', 'MISC')
('Cook Islands', 'LOC')
('Pacific Island', 'LOC')
('PIF', 'ORG')
('Pacific Community', 'ORG')
('Pacific Island Forum', 'ORG')
('PIF 2050', 'ORG')
('Cook Islands', 'LOC')
('Pacific Ocean', 'LOC')
('Blinken', 'PER')
('Prime minister Brown', 'PER')
('U.S.', 'LOC')
('Cook Islands', 'LOC')
('United States of America', 'LOC')
('Mark Brown', 'PER')
('Cook Islands', 'LOC')
('BLINKEN', 'PER')
('KRITENBRINK', 'PER')
('United States', 'LOC')
('Cook Islands', 'LOC')
('Pacific Islands Forum', 'ORG')
('Pacific Community', 'ORG')
('United States of America', 'LOC')
('Cook Islands', 'LOC')
('Blinken', 'PER')
('prime minister Brown', 'PER')
('MR. Nadel', 'PER')
('Blinken', 'PER')
('Bob Boehme', 'PER')
('United States', 'LOC')
('State Department', 'ORG')
('Aqsa Mosque', 'LOC')
('Israeli', 'MISC')
('Haram al Sharif Temple Mount', 'LOC')
('Jews', 'MISC')
('Muslims', 'MISC')
('Christians', 'MISC')
('Bahais', 'MISC')
('Israel', 'LOC')
('West Bank', 'LOC')
('Gaza', 'LOC')
('United Nations', 'ORG')
('Xinjiang', 'LOC')
('China', 'LOC')
('Blinken', 'PER')
('Chinese Government', 'ORG')
('Xinjiang', 'LOC')
('PRC', 'ORG')
('PRC Government', 'ORG')
('Humeyra', 'PER')
('China', 'LOC')
('U.S. Commission on International Religious Freedom', 'ORG')
('2022 Winter Olympics', 'MISC')
('Beijing', 'LOC')
('Uyghur Muslims', 'MISC')
('State Department', 'MISC')
('Burma', 'LOC')
('Rohingya', 'MISC')
('Rakhine State', 'LOC')
('State Department', 'ORG')
('Beijing', 'LOC')
('Xinjiang', 'LOC')
('Tibet', 'LOC')
('Hong Kong', 'LOC')
('Congress', 'ORG')
('China', 'LOC')
('Commerce Department', 'ORG')
('Xinjiang', 'LOC')
('Chinese Government', 'ORG')
('Xinjiang', 'LOC')
('Uyghurs', 'MISC')
('PRC', 'ORG')
('Pompeo', 'PER')
('Biden', 'PER')
('Trump', 'PER')
('Religious Freedom Act', 'ORG')
('Wolf Act', 'ORG')
('First Amendment', 'ORG')
('United States', 'LOC')
('India', 'LOC')
('U.S.', 'LOC')
('India', 'LOC')
('CAA', 'ORG')
('FCRA', 'ORG')
('Bangladesh', 'LOC')
('Pakistan', 'LOC')
('Afghanistan', 'LOC')
('Hindus', 'MISC')
('Christians', 'MISC')
('Sikhs', 'MISC')
('Bangladesh', 'LOC')
('Pakistan', 'LOC')
('Afghanistan', 'LOC')
('Hindu', 'MISC')
('Christian', 'MISC')
('Bahai', 'MISC')
('Sikh', 'MISC')