('United Nations', 'ORG')
('Contact Group on Piracy off the Coast of Somalia', 'ORG')
('United States', 'ORG')
('New York Declaration', 'ORG')
('International Ship and Port Facility Security Code', 'ORG')
('Panama', 'ORG')
('Bahamas', 'ORG')
('Liberia', 'ORG')
('Marshall Islands', 'ORG')
('NATO', 'ORG')
('European Union', 'ORG')
('Somalia', 'LOC')
('Coast of Somalia', 'LOC')
('United States', 'LOC')
('New York', 'LOC')
('Horn of Africa', 'LOC')
('piracy', 'MISC')
('Syrian Embassy', 'ORG')
('United States', 'ORG')
('State Department', 'ORG')
('Honorary Consuls', 'ORG')
('Vienna Convention on Diplomatic Relations', 'ORG')
('United States', 'LOC')
('Michigan', 'LOC')
('Texas', 'LOC')
('Washington', 'LOC')
('Syria', 'LOC')
('Syrian ambassador', 'PER')
('Clinton', 'PER')
('Lavrov', 'PER')
('Obama', 'PER')
('Medvedev', 'PER')
('United States', 'ORG')
('G-20', 'ORG')
('NATO', 'ORG')
('NATO Russia Council', 'ORG')
('Russia', 'ORG')
('START', 'ORG')
('Russian Federation', 'ORG')
('Euro Atlantic', 'ORG')
('Quartet', 'ORG')
('Afghanistan', 'LOC')
('Iran', 'LOC')
('North Korea', 'LOC')
('Georgia', 'LOC')
('London', 'LOC')
('Horn of Africa', 'LOC')
('arms control', 'MISC')
('nonproliferation', 'MISC')
('nuclear weapons', 'MISC')
('Judith Heumann', 'PER')
('Mexico', 'LOC')
('Mexico City', 'LOC')
('United States', 'LOC')
('United States', 'ORG')
('international disability rights', 'MISC')
('accessibility', 'MISC')
('inclusive education', 'MISC')
('Catherine A. Novelli', 'PER')
('Marrakech', 'LOC')
('Morocco', 'LOC')
('United Nations Framework Convention on Climate Change', 'ORG')
('cop-22', 'ORG')
('Global Climate Action Day on Oceans', 'ORG')
('Marrakech e prix', 'MISC')
('Formula E', 'MISC')
('Africa', 'LOC')
('Youth leadership event', 'MISC')
('U.S. exchange programs', 'ORG')
('Bill Burns', 'PER')
('World Affairs Councils of America', 'ORG')
('Renaissance Mayflower Hotel', 'LOC')
('Washington DC', 'LOC')
('Asia', 'LOC')
('Americas', 'LOC')
('John McCain', 'PER')
('Stephen Hadley', 'PER')
('Richard C. Levin', 'PER')
('Yale University', 'ORG')
('World Affairs Councils of America', 'ORG')
('Kelsey Compton', 'PER')
('Reta Jo Lewis', 'PER')
('India', 'LOC')
('Maryland', 'LOC')
("Martin O'Malley", 'PER')
('Maryland', 'LOC')
('United States', 'LOC')
('India', 'LOC')
('United States', 'ORG')
('Southern Sudan', 'LOC')
('Southern Sudan Referendum Commission', 'ORG')
('ssrc', 'ORG')
('Southern Sudan Legislative Assembly', 'ORG')
('Antigua and Barbuda', 'LOC')
('Bahamas', 'LOC')
('Barbados', 'LOC')
('Belize', 'LOC')
('Commonwealth of Dominica', 'LOC')
('Dominican Republic', 'LOC')
('Grenada', 'LOC')
('Republic of Guyana', 'LOC')
('Republic of Haiti', 'LOC')
('Jamaica', 'LOC')
('St. Kitts and Nevis', 'LOC')
('St. Lucia', 'LOC')
('St. Vincent and the Grenadines', 'LOC')
('Republic of Suriname', 'LOC')
('Republic of Trinidad and Tobago', 'LOC')
('United States', 'LOC')
('Montego Bay', 'LOC')
('Bridgetown', 'LOC')
('Caribbean Basin Security Initiative', 'ORG')
('CBSI', 'ORG')
('United States', 'ORG')
('Caribbean', 'LOC')
('Haiti', 'LOC')
('Energy and Climate Partnership of the Americas', 'ORG')
('ecpa', 'ORG')
('Advancing Sustainable Energy Solutions in the Caribbean initiative', 'ORG')
('Caribbean Climate Change Adaptation Initiative', 'ORG')
('University of the West Indies', 'ORG')
('U.S. universities', 'ORG')
('United States', 'ORG')
('Caribbean', 'LOC')
('United States', 'LOC')
('Caribbean', 'LOC')
('U.S. secretary of State', 'PER')
('International Diaspora Engagement Alliance', 'ORG')
('IDEA', 'ORG')
('Caribbean diaspora', 'MISC')
('caribbean idea marketplace', 'ORG')
('Caribbean American heritage month', 'MISC')