('Heather Nauert', 'PER')
('Washington DC', 'LOC')
('United States', 'LOC')
('Guatemala', 'LOC')
('Fuego', 'LOC')
('Guatemala', 'LOC')
('Friday', 'DATE')
('Pompeo', 'PER')
('California', 'LOC')
('Monday', 'DATE')
('Stanford University', 'ORG')
('United States', 'LOC')
('Islamic Republic of Iran', 'ORG')
('Silicon Valley', 'LOC')
('U.S.', 'LOC')
('Pompeo', 'PER')
('Japan', 'LOC')
('South Korea', 'LOC')
('United States Senate', 'ORG')
('United States Mexico Canada Agreement', 'ORG')
('USMCA', 'ORG')
('Trump', 'PER')
('Mexico', 'LOC')
('USMCA', 'ORG')
('Canadian', 'MISC')
('Pompeo', 'PER')
('Organization of American States', 'ORG')
('Pompeo', 'PER')
('Germany', 'LOC')
('Colombia', 'LOC')
('Costa Rica', 'LOC')
('Jamaica', 'LOC')
('Florida', 'LOC')
('Berlin', 'LOC')
('Bogota', 'LOC')
('Colombia', 'LOC')
('Duque', 'PER')
('San Jose', 'LOC')
('Costa Rica', 'LOC')
('Joint Operations Center', 'ORG')
('Nicaragua', 'LOC')
('Venezuela', 'LOC')
('Pompeo', 'PER')
('Kingston', 'LOC')
('Jamaica', 'LOC')
('Pompeo', 'PER')
('DeSantis', 'PER')
('Bushnell', 'LOC')
('Florida', 'LOC')
('Trump', 'PER')
('Washington D.C.', 'LOC')
('January 19th', 'DATE')
('Treaty of Mutual Cooperation and Security', 'ORG')
('United States', 'LOC')
('Japan', 'LOC')
('January 19th 1960', 'DATE')
('U.S.-Japan alliance', 'ORG')
('U.S.', 'LOC')
('Japan', 'LOC')
('U.S.-Japan alliance', 'ORG')
('Indo Pacific', 'LOC')
('Pompeo', 'PER')
('Iran', 'LOC')
('Pompeo', 'PER')
('IRGC', 'ORG')
('Hassan Shahvarpour', 'PER')
('Mahshahr', 'LOC')
('Mahshahr', 'LOC')
('IRGC', 'ORG')
('United Kingdom', 'LOC')
('France', 'LOC')
('Germany', 'LOC')
('Johnson', 'PER')
('Rouhani', 'PER')
('Khamenei', 'PER')
('Europe', 'LOC')
('Pompeo', 'PER')
('Shahvarpour', 'PER')
('IRGC', 'ORG')
('Mahshahr', 'LOC')
('United Kingdom', 'LOC')
('France', 'LOC')
('Germany', 'LOC')
('Pompeo', 'PER')
('UK Government', 'ORG')
('Hizballah', 'ORG')
('United Kingdom', 'LOC')
('Hizballah', 'ORG')
('E3', 'ORG')
('Pompeo', 'PER')
('Pompeo', 'PER')
('Trump', 'PER')
('United Arab Emirates', 'LOC')
('Bush administration', 'ORG')
('UAE', 'ORG')
('Khamenei', 'PER')
('IRGC', 'ORG')
('Trump', 'PER')
('Soleimani', 'PER')
('Soleimani', 'PER')
('Iran', 'LOC')
('Zarif', 'PER')
('Iran', 'LOC')
('Russia', 'LOC')
('China', 'LOC')
('United Nations Security Council', 'ORG')
('Pompeo', 'PER')
('Pompeo', 'PER')
('MEK', 'ORG')
('Los Angeles', 'LOC')
('Pompeo', 'PER')
('Nike', 'ORG')
('Brian', 'PER')
('Olympics', 'ORG')
('Morgan', 'PER')
('Esper', 'PER')
('Pompeo', 'PER')
('Trump', 'PER')
('Pompeo', 'PER')
('IRGC', 'ORG')
('Hook', 'PER')
('Trump', 'PER')
('Iran', 'LOC')
('Michael R. Pompeo', 'PER')
('April 29 2020', 'DATE')
('United States', 'LOC')
('COVID-19', 'MISC')
('United States', 'LOC')
('Bureau for Democracy Human Rights and Labor', 'ORG')
('DRL', 'ORG')
('COVID-19 Working Group', 'ORG')
('U.S. Agency for International Development', 'ORG')
('USAID', 'ORG')
('DRG Center', 'ORG')
('COVID-19', 'MISC')
('Azerbaijan', 'LOC')
('State Department', 'ORG')
('COVID-19', 'MISC')
('Azerbaijani', 'MISC')
('Bangladesh', 'LOC')
('State Department', 'ORG')
('COVID-19', 'MISC')
('Digital Security Act', 'ORG')
('COVID-19', 'MISC')
('Bangladesh', 'LOC')
('Sam Brownback', 'PER')
('Rohingya', 'MISC')
('Cox\'s Bazar', 'LOC')
('Bolivia', 'LOC')
('USAID', 'ORG')
('COVID-19', 'MISC')
('Bolivia', 'LOC')
('Democratic Republic of the Congo', 'LOC')
('USAID', 'ORG')
('COVID-19', 'MISC')
('Toko Longa Corona', 'MISC')
('El Salvador', 'LOC')
('United States', 'LOC')
('COVID-19', 'MISC')
('Guinea', 'LOC')
('USAID', 'ORG')
('COVID-19', 'MISC')
('Conakry', 'LOC')
('N\'Zerekore', 'LOC')
('Hong Kong', 'LOC')
('Pompeo', 'PER')
('Beijing', 'LOC')
('COVID-19', 'MISC')
('National Security Law', 'ORG')
('Hong Kong', 'LOC')
('Indonesia', 'LOC')
('USAID', 'ORG')
('COVID-19', 'MISC')
('Ministry of Health', 'ORG')
('Iran', 'LOC')
('Syria', 'LOC')
('State Department', 'ORG')
('UN Security Council', 'ORG')
('COVID-19', 'MISC')
('Kosovo', 'LOC')
('USAID', 'ORG')
('JSSP', 'ORG')
('Kosovo Judicial Council', 'ORG')
('COVID-19', 'MISC')
('JSSP', 'ORG')
('Mali', 'LOC')
('USAID', 'ORG')
('COVID-19', 'MISC')
('Mali', 'LOC')
('Moldova', 'LOC')
('U.S.', 'LOC')
('Russia', 'LOC')
('State Department', 'ORG')
('Chechen Republic', 'LOC')
('Ramzan Kadyrov', 'PER')
('Russia', 'LOC')
('Ukraine', 'LOC')
('State Department', 'ORG')
('Ivano Frankivsk', 'LOC')
('Roma', 'MISC')
('U.S.', 'LOC')
('Ukraine', 'LOC')
('Uzbekistan', 'LOC')
('State Department', 'ORG')
('Uzbekistan', 'LOC')
('Freedom Online Coalition', 'ORG')
('Global Action on Disability Network', 'ORG')
('Community of Democracies', 'ORG')
('Open Government Partnership', 'ORG')
('United States', 'LOC')
('COVID-19', 'MISC')
('U.S.', 'LOC')
('LGBTI', 'MISC')
('COVID-19', 'MISC')
('State.gov', 'ORG')
('USAID.gov', 'ORG')
('Coronavirus', 'MISC')
('Office of the Spokesperson', 'ORG')
('Washington DC', 'LOC')
('October 6 2017', 'DATE')
('Department of State', 'ORG')
('Mexico City', 'LOC')
('Mexico', 'LOC')
('Caddell Construction Company', 'ORG')
('Montgomery', 'LOC')
('Alabama', 'LOC')
('Tod Williams', 'PER')
('Billie Tsien', 'PER')
('Davis Brody Bond', 'ORG')
('New York', 'LOC')
('New York', 'LOC')
('Department', 'ORG')
('Bureau of Overseas Buildings Operations', 'ORG')
('OBO', 'ORG')
('Christine Foushee', 'PER')
('Morgan Ortagus', 'PER')
('Michael R. Pompeo', 'PER')
('Kazakhstani', 'MISC')
('Beibut Atamkulov', 'PER')
('U.S.-Kazakhstani', 'MISC')
('Kassym Jomart Tokayev', 'PER')
('Kazakhstan', 'LOC')
('Kazakhstan', 'LOC')
('Kazakhstan', 'LOC')
('Syria', 'LOC')
('Kazakhstan', 'LOC')
('Afghanistan', 'LOC')
('March 2 2020', 'DATE')
('James A. Walsh', 'PER')
('U.S.', 'LOC')
('63rd Commission on Narcotic Drugs', 'ORG')
('CND', 'ORG')
('March 2 6', 'DATE')
('Vienna', 'LOC')
('Austria', 'LOC')
('United States', 'LOC')
('Trump', 'PER')
('World Drug Problem', 'MISC')
('United States', 'LOC')
('United States', 'LOC')
('United States', 'LOC')
('CND', 'ORG')
('United States', 'LOC')
('Department of State', 'ORG')
('Department of Justice', 'ORG')
('Department of Health and Human Services', 'ORG')
('Food and Drug Administration', 'ORG')
('Department of Agriculture', 'ORG')
('State Department', 'ORG')
('INL', 'ORG')
('United States', 'LOC')
('United States', 'LOC')
('July 26 2018', 'DATE')
('Pompeo', 'PER')
('Trump', 'PER')
('United States Government', 'ORG')
('United States', 'LOC')
('ISIS', 'ORG')
('Iraq', 'LOC')
('Jared Kushner', 'PER')
('Mick Mulvaney', 'PER')
('Mark Green', 'PER')
('Nikki Haley', 'PER')
('State Department', 'ORG')
('United States', 'LOC')
('International Religious Freedom Fund', 'ORG')
('International Visitor Leadership Program', 'ORG')
('United States', 'LOC')
('State Department', 'ORG')
('Potomac Declaration', 'MISC')
('Potomac Plan of Action', 'MISC')
('United States', 'LOC')
('Brownback', 'PER')
('State Department', 'ORG')
('America', 'LOC')
('Brownback', 'PER')
('U.S.', 'LOC')
('U.S. Consulate General Istanbul', 'ORG')
('Metin Topuz', 'PER')
('March 26th', 'DATE')
('Topuz', 'PER')
('United States', 'LOC')
('Turkey', 'LOC')
('Topuz', 'PER')
('United States', 'LOC')
('Turkey', 'LOC')
('Turkish', 'MISC')
('June 1, 2020', 'DATE')
('U. S. Department of State', 'ORG')
('Venezuelan', 'MISC')
('Joselit de la Trinidad Ramirez Camacho', 'PER')
('Venezuelan', 'MISC')
('Venezuela', 'LOC')
('United States', 'LOC')
('Venezuelans', 'MISC')
('Ramirez Camacho', 'PER')
('Venezuelan', 'MISC')
('Maduro', 'PER')
('Ramirez Camacho', 'PER')
('Tareck El Aissami', 'PER')
('Southern District of New York', 'LOC')
('Department of State', 'ORG')
('Transnational Organized Crime Rewards Program', 'MISC')
('Narcotics Rewards Program', 'MISC')
('Department of State', 'ORG')
('Bureau of International Narcotics and Law Enforcement Affairs', 'ORG')
('Drug Enforcement Administration', 'ORG')
('DEA', 'ORG')
('Federal Bureau of Investigation', 'ORG')
('U.S. Immigration and Customs Enforcement', 'ORG')
('Homeland Security Investigations', 'ORG')
('State Department', 'ORG')
('Transnational Organized Crime Rewards Program', 'MISC')